frame,label,area,centroid_x,centroid_y,original_label,perimeter,show
2,42,4274,160.1593323,286.6932678,43.0,220,1
2,43,3556,360.9550171,291.0753784,44.0,209,1
2,44,3899,93.77071381,312.4888306,45.0,225,1
2,45,4060,26.44433403,306.6507263,46.0,178,1
2,46,2792,443.0171814,328.48172,47.0,192,1
2,47,1802,487.9827881,323.8812561,48.0,129,1
2,48,3751,337.5387878,347.178894,49.0,203,1
2,49,2808,396.4679565,344.3956604,50.0,189,1
2,50,4112,140.7590027,351.0119019,51.0,232,1
2,51,4100,264.2185364,339.6582947,52.0,236,1
2,52,4107,207.57901,352.743866,53.0,250,1
2,53,6963,53.27100372,375.3426819,54.0,269,1
2,54,1052,500.8612061,362.2442932,55.0,91,1
2,55,3219,470.3696899,385.923584,56.0,197,1
2,56,2383,416.0285339,387.5795288,57.0,183,1
2,57,5092,288.3898315,396.4261475,58.0,247,1
2,58,5234,359.6228638,420.7858276,59.0,243,1
2,59,2340,169.6991425,402.7837524,60.0,181,1
2,60,4078,219.0716095,423.8366699,61.0,222,1
2,61,3326,125.9353561,416.9491882,62.0,198,1
2,62,666,502.2792664,410.2177124,63.0,60,1
2,63,1834,10.44165802,440.6106873,64.0,111,1
2,64,4640,422.8810425,443.4312439,65.0,236,1
2,65,4734,308.3248901,472.1079407,66.0,201,1
2,66,2321,165.7669067,460.6195679,67.0,166,1
2,67,3455,447.980896,489.0043335,68.0,153,1
2,68,2672,367.692749,491.3832397,69.0,122,1
2,69,2481,89.95324707,446.6469116,70.0,246,1
2,70,2722,204.9154968,489.3523254,71.0,128,1
2,71,2019,138.1193695,495.677063,72.0,104,1
2,72,3224,491.6011047,461.4795227,73.0,129,1
2,73,2055,376.9785767,24.9980526,74.0,147,1
2,74,2642,485.8981934,276.6540527,75.0,147,1
2,75,3272,256.1821594,473.8795776,76.0,182,1
2,76,4603,37.53095627,463.5870056,77.0,236,1
2,77,2637,87.85362244,485.7982483,78.0,144,1
2,78,249,3.47389555,50.04016113,79.0,37,1
2,79,0,0.0,0.0,80.0,1,0
2,80,2221,492.7104797,220.3831635,82.0,122,1
2,81,0,0.0,0.0,83.0,1,0
2,82,2183,487.8960266,172.7086639,84.0,140,1
2,83,0,0.0,0.0,85.0,1,0
2,84,0,0.0,0.0,86.0,1,0
2,85,3148,66.25286102,261.2261658,87.0,209,1
2,86,0,0.0,0.0,88.0,1,0
2,87,0,0.0,0.0,90.0,1,0
2,88,0,0.0,0.0,91.0,1,0
2,89,0,0.0,0.0,92.0,1,0
2,90,1312,208.0480194,9.416158676,93.0,89,1
2,91,0,0.0,0.0,94.0,1,0
2,92,0,0.0,0.0,95.0,1,0
2,93,0,0.0,0.0,96.0,1,0
2,94,0,0.0,0.0,98.0,1,0
2,95,0,0.0,0.0,99.0,1,0
2,96,0,0.0,0.0,100.0,1,0
2,97,0,0.0,0.0,101.0,1,0
2,98,0,0.0,0.0,102.0,1,0
2,99,0,0.0,0.0,104.0,1,0
2,100,0,0.0,0.0,105.0,1,0
2,101,0,0.0,0.0,106.0,1,0
2,102,0,0.0,0.0,108.0,1,0
2,103,0,0.0,0.0,109.0,1,0
2,104,0,0.0,0.0,110.0,1,0
2,105,0,0.0,0.0,111.0,1,0
2,106,0,0.0,0.0,112.0,1,0
2,107,0,0.0,0.0,113.0,1,0
2,108,0,0.0,0.0,114.0,1,0
2,109,0,0.0,0.0,115.0,1,0
2,110,0,0.0,0.0,116.0,1,0
2,111,0,0.0,0.0,117.0,1,0
2,112,0,0.0,0.0,118.0,1,0
2,113,3627,101.1086273,36.20512772,119.0,214,1
2,114,0,0.0,0.0,120.0,1,0
2,115,0,0.0,0.0,121.0,1,0
2,116,0,0.0,0.0,122.0,1,0
2,117,0,0.0,0.0,123.0,1,0
